Escenario,AC ID,Acción,Contexto,Epic,Resultado,US ID,UUID,"🧩  Historias de Usuario "
Validación de Coherencia de Fechas,AC-INV-005-56,"Cuando el Ingeniero ingresa una ""Fecha de Inicio"" anterior a la ""Fecha de Compra"".",Dado que el Ingeniero de Proyectos está ingresando las fechas del activo.,INV,Entonces el sistema muestra una advertencia de inconsistencia temporal.,INV-005,56,Creación de Ficha Técnica de Activo (Equipment Unit - ISO 14224) (https://www.notion.so/Creaci-n-de-Ficha-T-cnica-de-Activo-Equipment-Unit-ISO-14224-2c587c56a828809c9d15c59cb13bf045?pvs=21)
Crear Ubicación Hija (Sección/Sistema),AC-INV-027-58,"Cuando agrego una nueva ubicación ""Sistema de Bombeo"" como hija de ""Planta Cartagena"".","Dado que existe la ubicación ""Planta Cartagena"".",INV,"Entonces el sistema guarda la relación jerárquica y muestra ""Sistema de Bombeo"" indentado bajo la planta.",INV-027,58,Creación de Ubicaciones Funcionales (Functional Locations) (https://www.notion.so/Creaci-n-de-Ubicaciones-Funcionales-Functional-Locations-30a87c56a82880e3a799fb6f65d7aae2?pvs=21)
Validación de Tag Único,AC-INV-027-59,"Cuando intento crear otra ubicación con el mismo Tag ""P-101"" en una sección diferente.","Dado que existe una ubicación con el Tag ""P-101"".",INV,"Entonces el sistema muestra un error: ""El Tag P-101 ya existe en el sistema"" y bloquea la creación.",INV-027,59,Creación de Ubicaciones Funcionales (Functional Locations) (https://www.notion.so/Creaci-n-de-Ubicaciones-Funcionales-Functional-Locations-30a87c56a82880e3a799fb6f65d7aae2?pvs=21)
Crear Ubicación Raíz (Planta),AC-INV-027-57,"Cuando creo una Ubicación Funcional de Nivel 3 (Instalación) con el nombre ""Planta Cartagena"".","Dado que el Ingeniero de Proyectos está en el módulo de ""Ubicaciones Funcionales"".",INV,Entonces el sistema crea el nodo raíz del árbol y permite agregarle secciones hijas.,INV-027,57,Creación de Ubicaciones Funcionales (Functional Locations) (https://www.notion.so/Creaci-n-de-Ubicaciones-Funcionales-Functional-Locations-30a87c56a82880e3a799fb6f65d7aae2?pvs=21)
Prevención de Ciclos,AC-INV-027-60,"Cuando intento mover ""Sistema A"" para que sea hijo de ""Subsistema B"".","Dado que ""Sistema A"" es padre de ""Subsistema B"".",INV,Entonces el sistema impide la acción para evitar un bucle infinito en la jerarquía.,INV-027,60,Creación de Ubicaciones Funcionales (Functional Locations) (https://www.notion.so/Creaci-n-de-Ubicaciones-Funcionales-Functional-Locations-30a87c56a82880e3a799fb6f65d7aae2?pvs=21)
Validación de coherencia método-criticidad,AC-MTTO-001-61,"Cuando selecciona método ""time-based"" con intervalo ""trimestral"" (12 semanas)","Dado que el Planificador está creando un plan preventivo para un activo con criticidad ""Production Critical”",MTTO,"Entonces el sistema muestra advertencia: ""Para activos Production Critical, se recomienda intervalo ≤ 8 semanas. ¿Deseas continuar?"" y permite al usuario confirmar o modificar el intervalo",MTTO-001,61,Programación de Mantenimiento Preventivo (https://www.notion.so/Programaci-n-de-Mantenimiento-Preventivo-2c587c56a82880949bb9fec30ac87fcc?pvs=21)
Registro de auditoría visible,AC-MTTO-001-62,Cuando el usuario accede al historial de auditoría del sistema,Dado que se ha creado exitosamente un plan preventivo recurrente,MTTO,"Entonces aparece un registro con la información del plan:
• Usuario que creó el plan
• Fecha y hora de creación
• Equipo asignado (Tag ISO)
• Método de mantenimiento (time-based o condition-based)
• Frecuencia programada
• Estado del plan (Activo)",MTTO-001,62,Programación de Mantenimiento Preventivo (https://www.notion.so/Programaci-n-de-Mantenimiento-Preventivo-2c587c56a82880949bb9fec30ac87fcc?pvs=21)
Validación de tamaño de archivo,AC-MTTO-003-63,Cuando intenta subir un archivo PDF válido pero mayor a 50 MB.,Dado que el Contratista está en la pantalla de adjuntar archivo.,MTTO,"Entonces el sistema muestra advertencia: ""Archivo muy grande (máximo 50 MB)"" y sugiere comprimir el PDF antes de reintentar.",MTTO-003,63,Carga de Informe por Contratista (https://www.notion.so/Carga-de-Informe-por-Contratista-2c587c56a82880d1b3e1cb7a94816bf3?pvs=21)
Visualización de adjuntos para Supervisor,AC-MTTO-003-64,Cuando el Supervisor accede a la WO para revisión.,Dado que un informe PDF ha sido adjuntado a una WO.,MTTO,"Entonces el sistema muestra lista de adjuntos con nombre, tamaño y fecha de carga, permite descargar el archivo directamente, muestra quién lo adjuntó y cuándo, y permite filtrar los adjuntos por Ítem Mantenible.",MTTO-003,64,Carga de Informe por Contratista (https://www.notion.so/Carga-de-Informe-por-Contratista-2c587c56a82880d1b3e1cb7a94816bf3?pvs=21)
Aprobación con un solo clic,AC-MTTO-004-65,Cuando el Supervisor presiona “Aprobar”.,Dado que el sistema ha mostrado el resumen de extracción de datos.,MTTO,Entonces la WO cambia a estado “Aprobada” y el resumen queda registrado como parte del cierre.,MTTO-004,65,Extracción Automática de Datos de Informes (https://www.notion.so/Extracci-n-Autom-tica-de-Datos-de-Informes-2c587c56a82880ecbcdcfc7405526d3c?pvs=21)
Pregunta respondida con referencia a fuente,AC-MTTO-028-66,"Cuando pregunta: ""¿Cuál es la temperatura máxima de operación del rodamiento SKF X-100?""",Dado que el Técnico está en una WO en campo y abre el asistente de IA.,MTTO,"Entonces el chatbot responde con la respuesta extraída del manual y dice: ""Respuesta encontrada en Manual SKF, página 45, sección 'Especificaciones Técnicas'. Por favor confirma leyendo la página 45 antes de actuar"".",MTTO-028,66,Asistente de Consulta de Documentación con IA (RAG + Chatbot) (https://www.notion.so/Asistente-de-Consulta-de-Documentaci-n-con-IA-RAG-Chatbot-30b87c56a82880868994f88b54e68897?pvs=21)
Pregunta fuera de contexto,AC-MTTO-028-67,"Cuando pregunta: ""¿Cuál es la capital de Francia?""",Dado que el Técnico pregunta algo no relacionado con la documentación disponible.,MTTO,"Entonces el chatbot responde: ""No puedo responder esa pregunta basándome en los manuales disponibles. Por favor consulta la documentación técnica o contacta al supervisor.""",MTTO-028,67,Asistente de Consulta de Documentación con IA (RAG + Chatbot) (https://www.notion.so/Asistente-de-Consulta-de-Documentaci-n-con-IA-RAG-Chatbot-30b87c56a82880868994f88b54e68897?pvs=21)
Consulta offline con fallback,AC-MTTO-028-68,Cuando abre el chatbot e intenta hacer una pregunta.,Dado que el Técnico está sin conexión a internet.,MTTO,"Entonces el sistema le sugiere: ""Consulta disponible solo con conexión. Mientras tanto, usa búsqueda local en manuales descargados"" ",MTTO-028,68,Asistente de Consulta de Documentación con IA (RAG + Chatbot) (https://www.notion.so/Asistente-de-Consulta-de-Documentaci-n-con-IA-RAG-Chatbot-30b87c56a82880868994f88b54e68897?pvs=21)
Auditoría de consulta,AC-MTTO-028-69,Cuando el Supervisor revisa el historial de la WO.,Dado que el Técnico ha hecho una consulta al asistente IA.,MTTO,"Entonces aparece un registro con: timestamp, pregunta, respuesta resumida, y referencia a documento/página (sin almacenar respuesta completa).",MTTO-028,69,Asistente de Consulta de Documentación con IA (RAG + Chatbot) (https://www.notion.so/Asistente-de-Consulta-de-Documentaci-n-con-IA-RAG-Chatbot-30b87c56a82880868994f88b54e68897?pvs=21)
Registro de Boundaries en Ficha de Equipo,AC-MTTO-029-70,"Cuando ingresa el Punto Inicial (""Brida de succión""), Punto Final (""Brida descarga"") y selecciona los Componentes Incluidos (Motor, Sello) y presiona ""Guardar Límites"".","Dado que el Ingeniero de Confiabilidad está en la pantalla ""Definir Límites"" de la ""Bomba Centrífuga P-101"".",MTTO,"Entonces el sistema muestra un mensaje de confirmación ""Límites definidos correctamente"" y los componentes seleccionados aparecen listados en la ficha del equipo.",MTTO-029,70,Definición de Límites de Equipo (Boundary Definition) (https://www.notion.so/Definici-n-de-L-mites-de-Equipo-Boundary-Definition-30b87c56a8288013b9f5ec60d75d219a?pvs=21)
Validación de Unicidad de Componentes,AC-MTTO-029-71,"Cuando el Ingeniero intenta añadir ese mismo ""Motor M-101"" a los límites del ""Compresor C-201"".","Dado que el componente ""Motor Eléctrico M-101"" ya pertenece a la ""Bomba P-101"".",MTTO,"Entonces el sistema muestra una advertencia bloqueante: ""Conflicto: El componente ya está asignado a P-101. Debe liberarlo antes de reasignarlo"".",MTTO-029,71,Definición de Límites de Equipo (Boundary Definition) (https://www.notion.so/Definici-n-de-L-mites-de-Equipo-Boundary-Definition-30b87c56a8288013b9f5ec60d75d219a?pvs=21)
Visualización de Límites,AC-MTTO-029-72,"Cuando despliega la sección ""Límites de Equipo"".","Dado que el Técnico consulta la ficha de la ""Bomba P-101"".",MTTO,"Entonces ve claramente el texto descriptivo del Inicio y Fin del límite físico, junto con la lista de componentes que pertenecen a este activo.",MTTO-029,72,Definición de Límites de Equipo (Boundary Definition) (https://www.notion.so/Definici-n-de-L-mites-de-Equipo-Boundary-Definition-30b87c56a8288013b9f5ec60d75d219a?pvs=21)
Alerta de Garantía Vigente,AC-MTTO-030-73,Cuando el Planificador intenta crear una Orden de Trabajo Correctiva para este activo.,"Dado que el activo ""Compresor C-301"" tiene una garantía válida hasta el año 2027.",MTTO,"Entonces el sistema interrumpe el proceso con una alerta: ""Este equipo tiene garantía vigente con Atlas Copco. ¿Desea crear un Reclamo de Garantía en lugar de una OT Interna?"".",MTTO-030,73,Gestión de Garantías de Activos (https://www.notion.so/Gesti-n-de-Garant-as-de-Activos-30b87c56a8288092a1d4e315ad3fb402?pvs=21)
Conversión a Reclamo,AC-MTTO-030-74,"Cuando el Planificador selecciona la opción ""Crear Reclamo"".",Dado que se ha mostrado la alerta de garantía vigente.,MTTO,"Entonces el formulario cambia de tipo ""WO Interna"" a ""Reclamo de Garantía"", ocultando los campos de costos internos y mostrando los campos de contacto del proveedor.",MTTO-030,74,Gestión de Garantías de Activos (https://www.notion.so/Gesti-n-de-Garant-as-de-Activos-30b87c56a8288092a1d4e315ad3fb402?pvs=21)
Bypass Justificado,AC-MTTO-030-75,"Cuando el Planificador selecciona ""Ignorar y Crear OT Interna"".",Dado que se ha mostrado la alerta de garantía vigente.,MTTO,"Entonces el sistema exige ingresar un comentario de justificación (ej. ""Daño no cubierto"") antes de permitir guardar la orden.",MTTO-030,75,Gestión de Garantías de Activos (https://www.notion.so/Gesti-n-de-Garant-as-de-Activos-30b87c56a8288092a1d4e315ad3fb402?pvs=21)
Creación Exitosa de Repuesto Stock,AC-INV-031-76,"Cuando ingresa: SKU ""BRG-6205"", Descripción ""Rodamiento 6205"", Fabricante ""SKF"", Commodity Code ""000-020-6205"" (Mechanical → Bearings → 6205), Clasificación ABC ""B"", Tipo ""Stock Item"".
Y presiona ""Guardar"".","Dado que el Almacenista está en la pantalla ""Nuevo Repuesto"".",INV,"Entonces el sistema crea el repuesto, muestra mensaje ""Repuesto creado exitosamente"" y redirige a la ficha de la parte con los datos ingresados.",INV-031,76,Gestión de Catálogo de Repuestos (Part Master) (https://www.notion.so/Gesti-n-de-Cat-logo-de-Repuestos-Part-Master-30c87c56a828806281dbcd3c07b7ec73?pvs=21)
Validación de Duplicados (Gatekeeper),AC-INV-031-77,"Cuando el Almacenista intenta crear otro con descripción ""Bearing 6205"".","Dado que ya existe un repuesto con descripción ""Rodamiento Ball 6205"".",INV,"Entonces el sistema detecta similitud (>90%) y muestra advertencia: ""Posible duplicado detectado: 'Rodamiento Ball 6205' (SKU: BRG-001). ¿Desea reutilizar existente o crear nuevo?""",INV-031,77,Gestión de Catálogo de Repuestos (Part Master) (https://www.notion.so/Gesti-n-de-Cat-logo-de-Repuestos-Part-Master-30c87c56a828806281dbcd3c07b7ec73?pvs=21)
Distinción Stock vs. Direct Purchase,AC-INV-031-79,Cuando guarda el repuesto.,"Dado que el Almacenista marca un item como ""Direct Purchase"" (Non-Stock).",INV,"Entonces el sistema oculta campos de stock (Min Level, Max Level, Bin Location) y muestra mensaje informativo: ""Este item se compra directamente para órdenes específicas sin pasar por inventario"".",INV-031,79,Gestión de Catálogo de Repuestos (Part Master) (https://www.notion.so/Gesti-n-de-Cat-logo-de-Repuestos-Part-Master-30c87c56a828806281dbcd3c07b7ec73?pvs=21)
Selección de Commodity Code Jerárquico,AC-INV-031-78,Cuando despliega el selector de Sub-Class.,"Dado que el Almacenista selecciona Commodity Class ""Mechanical"" (000).",INV,"Entonces el sistema muestra solo sub-categorías válidas: ""Bearings (020)"", ""Belts (010)"", ""Seals (030)"", etc. (navegación tipo árbol).",INV-031,78,Gestión de Catálogo de Repuestos (Part Master) (https://www.notion.so/Gesti-n-de-Cat-logo-de-Repuestos-Part-Master-30c87c56a828806281dbcd3c07b7ec73?pvs=21)
Salida de Material a Orden de Trabajo (Issue),AC-INV-006-80,"Cuando el Técnico solicita retirar 10 unidades de ""BRG-6205"" para OT-1234.","Dado que existe Orden de Trabajo ""OT-1234"" planificada con 10 rodamientos reservados.",INV,"Entonces el sistema valida: Disponible (Físico - Reservado) >= 10, deduce 10 unidades de Cantidad Física, libera reserva, carga costo a OT-1234 y registra transacción tipo ""Issue"".",INV-006,80,Gestión de Movimientos de Inventario (https://www.notion.so/Gesti-n-de-Movimientos-de-Inventario-2c587c56a82880ef9af8f239049c4b3c?pvs=21)
Validación de Stock Insuficiente,AC-INV-006-81,Cuando el Técnico intenta retirar 5 unidades.,"Dado que el repuesto ""BRG-6205"" tiene: Físico = 5, Reservado = 3, Disponible = 2.",INV,"Entonces el sistema bloquea la transacción y muestra mensaje: ""Stock insuficiente. Disponible: 2 unidades (5 físicas - 3 reservadas). Requiere Orden de Compra"".",INV-006,81,Gestión de Movimientos de Inventario (https://www.notion.so/Gesti-n-de-Movimientos-de-Inventario-2c587c56a82880ef9af8f239049c4b3c?pvs=21)
Devolución de Material No Usado (Return to Stock),AC-INV-006-82,"Cuando registra devolución de 2 unidades de ""BRG-6205"" desde OT-1234.",Dado que el Técnico retiró 10 rodamientos pero solo usó 8 en OT-1234.,INV,"Entonces el sistema incrementa Cantidad Física en 2, genera crédito (reversa) en OT-1234 por el costo de 2 unidades y registra transacción tipo ""Return"".",INV-006,82,Gestión de Movimientos de Inventario (https://www.notion.so/Gesti-n-de-Movimientos-de-Inventario-2c587c56a82880ef9af8f239049c4b3c?pvs=21)
Alerta de Sobrestock por Devolución,AC-INV-006-83,Cuando se devuelven 10 unidades (total sería 105).,"Dado que el repuesto ""BRG-6205"" tiene: Físico = 95, Max Level = 100.",INV,"Entonces el sistema acepta la devolución pero genera alerta: ""Advertencia: Stock sobrepasa Max Level (105 > 100). Revisar órdenes de compra pendientes para posible cancelación"".",INV-006,83,Gestión de Movimientos de Inventario (https://www.notion.so/Gesti-n-de-Movimientos-de-Inventario-2c587c56a82880ef9af8f239049c4b3c?pvs=21)
Pre-llenado de Orden de Compra,AC-INV-021-87,"Cuando el Planificador hace clic en botón ""Crear Orden de Compra"" junto a la alerta.","Dado que existe alerta activa para ""Sello SM-100"" con Disponible = 2, Min = 5, Max = 20.",INV,"Entonces el sistema abre formulario de Purchase Requisition pre-llenado con: Part = SM-100, Cantidad Sugerida = 18 (Max - Disponible), Vendor = último usado o ""Por asignar"" si no existe historial.",INV-021,87,Monitor de Reabastecimiento (Stock Alerts) (https://www.notion.so/Monitor-de-Reabastecimiento-Stock-Alerts-2c687c56a828802bbe9fd7359783631f?pvs=21)
Alerta Normal para Item Clase B,AC-INV-021-85,Cuando el sistema detecta la condición de bajo stock.,"Dado ue el repuesto ""Rodamiento 6205"" tiene: Clasificación ABC ""B"", Disponible = 8, Min Level = 10.",INV,"Entonces genera alerta de prioridad ""Media"" en dashboard con mensaje: ""MODERADO: BRG-6205 por debajo de Min (8 < 10). Revisar en planificación diaria"".",INV-021,85,Monitor de Reabastecimiento (Stock Alerts) (https://www.notion.so/Monitor-de-Reabastecimiento-Stock-Alerts-2c687c56a828802bbe9fd7359783631f?pvs=21)
Alerta Inmediata para Item Clase A (Crítico),AC-INV-021-84,Cuando el nivel de stock disponible cae por debajo del mínimo (por consumo de material o revisión periódica del sistema).,"Dado que el repuesto ""Sello Mecánico SM-100"" tiene: Clasificación ABC ""A"", Disponible = 2, Min Level = 5.",INV,"Entonces el sistema genera alerta de prioridad ""Alta"" visible inmediatamente en dashboard con mensaje: ""CRÍTICO: SM-100 por debajo de Min (2 < 5). Acción inmediata requerida"" y envía notificación push/email al Planificador.",INV-021,84,Monitor de Reabastecimiento (Stock Alerts) (https://www.notion.so/Monitor-de-Reabastecimiento-Stock-Alerts-2c687c56a828802bbe9fd7359783631f?pvs=21)
Resolución de Alerta,AC-INV-021-88,Cuando se recibe material y Disponible sube a 15 (> Min Level = 10).,"Dado que existe alerta activa para ""BRG-6205"".",INV,"Entonces el sistema marca la alerta como ""Resuelta"" automáticamente y la mueve a pestaña ""Historial de Alertas Resueltas"" con timestamp de resolución.",INV-021,88,Monitor de Reabastecimiento (Stock Alerts) (https://www.notion.so/Monitor-de-Reabastecimiento-Stock-Alerts-2c687c56a828802bbe9fd7359783631f?pvs=21)
Lista de Compra Semanal para Item Clase C,AC-INV-021-86,Cuando el sistema detecta la condición de bajo stock.,"Dado que el repuesto ""Tornillo M8"" tiene: Clasificación ABC ""C"", Disponible = 45, Min Level = 50.",INV,"Entonces añade el item a la ""Lista de Compra Semanal"" (sin alerta urgente) visible en pestaña separada del dashboard.",INV-021,86,Monitor de Reabastecimiento (Stock Alerts) (https://www.notion.so/Monitor-de-Reabastecimiento-Stock-Alerts-2c687c56a828802bbe9fd7359783631f?pvs=21)
Validación de Integridad (Orphan Detection),AC-VIS-008-89,"Cuando el sistema intenta renderizar el icono en el modelo 3D. Y detecta que el objeto ""V-101"" no existe en la geometría del modelo actual (Link Roto).","Dado que existe un Permiso de Trabajo activo asociado al Tag ""V-101"".",VIS,"Entonces el sistema genera una alerta de ""Integridad de Seguridad Comprometida"" en el panel de notificaciones y muestra el permiso en una lista de ""Fallos de Visualización"" lateral, para que no pase desapercibido.",VIS-008,89,Visualización de Capa de Permisos de Trabajo (https://www.notion.so/Visualizaci-n-de-Capa-de-Permisos-de-Trabajo-2c587c56a82880858dd2eebd60f2b269?pvs=21)
Retorno al Contexto (Zoom Out),AC-VIS-009-90,"Cuando presiona el botón ""Vista General"" o hace zoom out rápido.",Dado que el Supervisor está inspeccionando una bomba específica.,VIS,"Entonces la cámara se aleja hasta mostrar toda la unidad de proceso, restaurando la visión periférica de alarmas vecinas.",VIS-009,90,Navegación Jerárquica y Zoom Semántico (https://www.notion.so/Navegaci-n-Jer-rquica-y-Zoom-Sem-ntico-2c587c56a82880e9b393df52ca93c1d5?pvs=21)
Granularidad de Acciones (Verbos),AC-ADM-013-91,"Cuando el Administrador despliega los permisos del módulo ""Órdenes de Trabajo"".","Dado que se está configurando el rol de ""Planificador"".",ADM,"Entonces debe ver opciones separadas para: ""Crear"", ""Editar"", ""Eliminar"", ""Aprobar Planeación"" y ""Cerrar Técnicamente"".",ADM-013,91,Gestión de Roles y Matriz de Permisos (RBAC Industrial) (https://www.notion.so/Gesti-n-de-Roles-y-Matriz-de-Permisos-RBAC-Industrial-2c587c56a8288030a183d5a07a1d6b44?pvs=21)
Protección de Roles del Sistema,AC-ADM-013-92,Cuando el Administrador intenta eliminarlo o quitarle todos los permisos.,"Dado que existe el rol ""Super Admin"" (Root).",ADM,"Entonces el sistema bloquea la acción con un mensaje de error crítico: ""No se puede modificar la integridad del rol raíz"".",ADM-013,92,Gestión de Roles y Matriz de Permisos (RBAC Industrial) (https://www.notion.so/Gesti-n-de-Roles-y-Matriz-de-Permisos-RBAC-Industrial-2c587c56a8288030a183d5a07a1d6b44?pvs=21)
Recuperación de Contraseña (Self-Service),AC-ADM-014-93,Cuando solicita el restablecimiento desde la pantalla de Login.,Dado que un usuario olvidó su contraseña.,ADM,Entonces recibe un enlace seguro (token de un solo uso) con validez de 1 hora para definir una nueva credencial que cumpla la política de complejidad (mínimo 12 caracteres).,ADM-014,93,Gestión de Usuarios y Ciclo de Vida Seguro (https://www.notion.so/Gesti-n-de-Usuarios-y-Ciclo-de-Vida-Seguro-2c587c56a8288040bb4ef345e87e96d0?pvs=21)
Captura de Modificación de Datos Críticos,AC-ADM-032-94,Cuando guarda los cambios.,"Dado que un Planificador cambia la ""Prioridad"" de una Orden de Trabajo de ""Alta"" a ""Baja"".",ADM,"Entonces el sistema registra automáticamente una entrada de auditoría con: Quién: ""Carlos.Gomez""; Cuándo: 2026-02-21 10:30:05 UTC; Qué: Entidad ""WorkOrder"", ID ""WO-1052""; Detalle: Campo ""Priority"" cambió de ""High"" a ""Low"".",ADM-032,94,Sistema de Auditoría Inmutable (Audit Trail) (https://www.notion.so/Sistema-de-Auditor-a-Inmutable-Audit-Trail-30e87c56a8288047a465f913d7ea075d?pvs=21)
Consulta de Historial por Activo,AC-ADM-032-96,"Cuando filtra el registro de auditoría por ""EntityID = P-101"".","Dado que el Auditor está investigando el historial del activo ""Bomba P-101"".",ADM,"Entonces visualiza una línea de tiempo completa de todos los cambios de estado, mantenimientos y modificaciones de atributos desde su creación.",ADM-032,96,Sistema de Auditoría Inmutable (Audit Trail) (https://www.notion.so/Sistema-de-Auditor-a-Inmutable-Audit-Trail-30e87c56a8288047a465f913d7ea075d?pvs=21)
Trazabilidad de Eliminación (Soft-Delete),AC-ADM-032-95,Cuando confirma la acción.,"Dado que un usuario intenta eliminar un registro de ""Repuesto"" del inventario maestro.",ADM,"Entonces el sistema marca el registro como inactivo (Soft-Delete) y crea una entrada de auditoría de tipo ""DELETE_ATTEMPT"" con la justificación ingresada (si aplica).",ADM-032,95,Sistema de Auditoría Inmutable (Audit Trail) (https://www.notion.so/Sistema-de-Auditor-a-Inmutable-Audit-Trail-30e87c56a8288047a465f913d7ea075d?pvs=21)
