Escenario,AC ID,Acción,Contexto,Epic,Historia de Origen,Resultado,US ID,UUID
Selección de Commodity Code Jerárquico,AC-INV-031-54,Cuando el usuario despliega el selector de categorías de materiales.,Dado que se está procediendo con la clasificación taxonómica de un repuesto según su familia técnica.,INV,INV-031: Gestión de Catálogo de Repuestos (Part Master) (https://www.notion.so/INV-031-Gesti-n-de-Cat-logo-de-Repuestos-Part-Master-30c87c56a828806281dbcd3c07b7ec73?pvs=21),"Entonces el sistema presenta únicamente las sub-categorías técnicamente válidas según el nivel superior seleccionado, garantizando una clasificación precisa y estandarizada.",INV-031,54
Activación de Capa de Seguridad (Redundancia Visual),AC-VIS-008-55,"Cuando activa la capa ""Permisos de Trabajo"".",Dado que el Inspector está visualizando el mapa general de planta (Nivel 1).,VIS,VIS-008: Visualización de Capa de Permisos de Trabajo (https://www.notion.so/VIS-008-Visualizaci-n-de-Capa-de-Permisos-de-Trabajo-2c587c56a82880858dd2eebd60f2b269?pvs=21),"Entonces el sistema superpone iconos sobre los activos afectados, utilizando codificación redundante (Color + Forma): Trabajo en Caliente: Cuadrado Rojo. Trabajo en Alturas: Triángulo Azul. Espacio Confinado: Círculo Amarillo.",VIS-008,55
Consulta Contextual (Desglose de Información),AC-VIS-008-56,Cuando el Inspector hace clic sobre el icono.,"Dado que se muestra un icono de ""Trabajo en Caliente"" sobre la bomba P-202.",VIS,VIS-008: Visualización de Capa de Permisos de Trabajo (https://www.notion.so/VIS-008-Visualizaci-n-de-Capa-de-Permisos-de-Trabajo-2c587c56a82880858dd2eebd60f2b269?pvs=21),"Entonces se despliega una tarjeta compacta (sin tapar el contexto) con: Contratista, Hora Inicio/Fin, y Responsable HSEQ.",VIS-008,56
Validación de Integridad (Detección de Huérfanos),AC-VIS-008-57,"Cuando el sistema intenta renderizar el icono en el Gemelo Digital 2D/3D y detecta que el objeto ""V-101"" no existe en la geometría o plano actual (Enlace Roto).","Dado que existe un Permiso de Trabajo activo asociado al Tag ""V-101"".",VIS,VIS-008: Visualización de Capa de Permisos de Trabajo (https://www.notion.so/VIS-008-Visualizaci-n-de-Capa-de-Permisos-de-Trabajo-2c587c56a82880858dd2eebd60f2b269?pvs=21),"Entonces el sistema genera una alerta de ""Integridad de Seguridad Comprometida"" en el panel de notificaciones y muestra el permiso en una lista de ""Fallos de Visualización"" lateral, para que no pase desapercibido.",VIS-008,57
Zoom Semántico (Desglose),AC-VIS-009-58,"Cuando hace zoom sobre el área de ""Calderas"".",Dado que el Supervisor está viendo el Mapa General (Nivel 1).,VIS,VIS-009: Navegación Jerárquica y Zoom Semántico (https://www.notion.so/VIS-009-Navegaci-n-Jer-rquica-y-Zoom-Sem-ntico-2c587c56a82880e9b393df52ca93c1d5?pvs=21),Entonces el sistema transiciona fluidamente desde el plano general de áreas hacia la visualización de iconos de activos individuales y finalmente al detalle técnico del activo (Nivel 3).,VIS-009,58
Límites de Navegación,AC-VIS-009-59,Cuando intenta realizar un zoom adicional.,Dado que el Supervisor ha alcanzado el nivel máximo de detalle permitido.,VIS,VIS-009: Navegación Jerárquica y Zoom Semántico (https://www.notion.so/VIS-009-Navegaci-n-Jer-rquica-y-Zoom-Sem-ntico-2c587c56a82880e9b393df52ca93c1d5?pvs=21),Entonces la vista se bloquea suavemente mediante una animación de amortiguación para evitar la pérdida de contexto visual.,VIS-009,59
Retorno al Contexto (Zoom Out),AC-VIS-009-60,"Cuando selecciona ""Vista General"" o realiza zoom out rápido.",Dado que el Supervisor está inspeccionando un activo específico en máximo detalle.,VIS,VIS-009: Navegación Jerárquica y Zoom Semántico (https://www.notion.so/VIS-009-Navegaci-n-Jer-rquica-y-Zoom-Sem-ntico-2c587c56a82880e9b393df52ca93c1d5?pvs=21),"Entonces la cámara se aleja hasta mostrar toda la unidad de proceso, restaurando la visión periférica de alarmas y estados de activos vecinos.",VIS-009,60
Activación de Despiece,AC-VIS-010-61,"Cuando selecciona la opción ""Ver Despiece"".",Dado que el Técnico ha seleccionado una bomba en el visor y el modelo de despiece está disponible.,VIS,VIS-010: Visualización de Despiece (Vista Explosionada) (https://www.notion.so/VIS-010-Visualizaci-n-de-Despiece-Vista-Explosionada-2c587c56a8288012879de8212fc850a9?pvs=21),"Entonces las partes del modelo se separan visualmente con una animación fluida, permitiendo ver los componentes internos como el eje y los rodamientos.",VIS-010,61
Selección de Componente Interno,AC-VIS-010-62,Cuando el Técnico selecciona un rodamiento específico.,"Dado que el activo está en modo ""Vista Explosionada"".",VIS,VIS-010: Visualización de Despiece (Vista Explosionada) (https://www.notion.so/VIS-010-Visualizaci-n-de-Despiece-Vista-Explosionada-2c587c56a8288012879de8212fc850a9?pvs=21),"Entonces el sistema resalta el componente y muestra una tarjeta con su nombre, código de parte y disponibilidad en inventario en el momento de la consulta.",VIS-010,62
Visualización de Puntos de Corte,AC-VIS-011-63,"Cuando activa la función ""Ver Ruta LOTO"".",Dado que el Técnico tiene seleccionada una Orden de Trabajo en su dispositivo.,VIS,VIS-011: Visualización de Rutas de Aislamiento (LOTO) y Bloqueo Activo (https://www.notion.so/VIS-011-Visualizaci-n-de-Rutas-de-Aislamiento-LOTO-y-Bloqueo-Activo-2c587c56a8288006a4dff06d585ce8aa?pvs=21),Entonces el Gemelo Digital resalta la ruta de energía y los puntos de bloqueo sobre la vista 2D/3D correspondiente.,VIS-011,63
Validación de Conexión,AC-VIS-011-64,Cuando el Técnico selecciona el punto de corte sugerido (ej. Breaker).,Dado que se muestran las líneas de conexión LOTO.,VIS,VIS-011: Visualización de Rutas de Aislamiento (LOTO) y Bloqueo Activo (https://www.notion.so/VIS-011-Visualizaci-n-de-Rutas-de-Aislamiento-LOTO-y-Bloqueo-Activo-2c587c56a8288006a4dff06d585ce8aa?pvs=21),Entonces el sistema muestra la etiqueta del tablero (Tag) que coincide con la realidad física.,VIS-011,64
Bloqueo de Inicio por Energía Detectada,AC-VIS-011-65,"Cuando el técnico intenta presionar ""Iniciar Trabajo"".",Dado que el simulador IoT reporta niveles de energía activa sobre el umbral de seguridad.,VIS,VIS-011: Visualización de Rutas de Aislamiento (LOTO) y Bloqueo Activo (https://www.notion.so/VIS-011-Visualizaci-n-de-Rutas-de-Aislamiento-LOTO-y-Bloqueo-Activo-2c587c56a8288006a4dff06d585ce8aa?pvs=21),Entonces el sistema bloquea la acción en la interfaz y muestra una alerta de peligro clara.,VIS-011,65
Validación de Energía Cero,AC-VIS-011-66,Cuando el técnico confirma el bloqueo físico en el checklist.,Dado que el simulador IoT confirma que no hay energía activa en los puntos de aislamiento.,VIS,VIS-011: Visualización de Rutas de Aislamiento (LOTO) y Bloqueo Activo (https://www.notion.so/VIS-011-Visualizaci-n-de-Rutas-de-Aislamiento-LOTO-y-Bloqueo-Activo-2c587c56a8288006a4dff06d585ce8aa?pvs=21),"Entonces el sistema permite cambiar el estado de la WO a ""En Ejecución"".",VIS-011,66
Bloqueo por Pérdida de Telemetría (Fail-Safe),AC-VIS-011-67,Cuando el técnico intenta iniciar el trabajo o confirmar el aislamiento.,Dado que el sistema no puede establecer comunicación con la fuente de telemetría IoT de la zona.,VIS,VIS-011: Visualización de Rutas de Aislamiento (LOTO) y Bloqueo Activo (https://www.notion.so/VIS-011-Visualizaci-n-de-Rutas-de-Aislamiento-LOTO-y-Bloqueo-Activo-2c587c56a8288006a4dff06d585ce8aa?pvs=21),"Entonces el sistema bloquea preventivamente la operación, informando que no se puede garantizar la Energía Cero por falta de datos en tiempo real.",VIS-011,67
Crear un sub-componente,AC-VIS-012-68,"Cuando hace clic en ""Añadir Componente"", le da el nombre ""Motor Eléctrico"" y el código ""ME-01"".","Dado que el Ingeniero está en la página de un activo ""Bomba P-101"" que no tiene componentes definidos.",VIS,VIS-012: Configuración de Jerarquía de Componentes 3D (https://www.notion.so/VIS-012-Configuraci-n-de-Jerarqu-a-de-Componentes-3D-2c587c56a82880649e7dc624bf27aaf0?pvs=21),"Entonces ""Motor Eléctrico"" debe aparecer como un sub-ítem anidado debajo de la ""Bomba P-101"" en el árbol de activos.",VIS-012,68
Asociar un modelo 3D a un componente,AC-VIS-012-69,"Cuando utiliza la opción ""Subir Modelo 3D"" y adjunta un archivo motor.step.","Dado que el Ingeniero está editando las propiedades del componente ""Motor Eléctrico"".",VIS,VIS-012: Configuración de Jerarquía de Componentes 3D (https://www.notion.so/VIS-012-Configuraci-n-de-Jerarqu-a-de-Componentes-3D-2c587c56a82880649e7dc624bf27aaf0?pvs=21),Entonces el sistema debe asociar ese archivo 3D al componente y mostrar una vista previa en miniatura.,VIS-012,69
Navegación jerárquica,AC-VIS-012-70,"Cuando hace clic en la vista explosionada y selecciona el ""Motor Eléctrico"".","Dado que el Técnico está viendo el activo ""Bomba P-101"" en la app móvil.",VIS,VIS-012: Configuración de Jerarquía de Componentes 3D (https://www.notion.so/VIS-012-Configuraci-n-de-Jerarqu-a-de-Componentes-3D-2c587c56a82880649e7dc624bf27aaf0?pvs=21),"Entonces la app debe mostrar la información y el modelo 3D específico del ""Motor Eléctrico"", no el de la bomba completa.",VIS-012,70
Intento de crear un componente duplicado,AC-VIS-012-71,"Cuando el Ingeniero intenta crear otro componente con el mismo código ""ME-01"".","Dado que el activo ""Bomba P-101"" ya tiene un componente con el código ""ME-01"".",VIS,VIS-012: Configuración de Jerarquía de Componentes 3D (https://www.notion.so/VIS-012-Configuraci-n-de-Jerarqu-a-de-Componentes-3D-2c587c56a82880649e7dc624bf27aaf0?pvs=21),"Entonces el sistema debe mostrar un mensaje de error ""El código de componente ya existe en este activo"" y no debe crear el duplicado.",VIS-012,71
Mover componente en el árbol (Re-parenting),AC-VIS-012-72,"Cuando el Ingeniero arrastra el componente hacia el ""Motor B"" en el árbol de jerarquía.","Dado que el componente ""Rodamiento R-01"" fue creado por error dentro del ""Motor A"".",VIS,VIS-012: Configuración de Jerarquía de Componentes 3D (https://www.notion.so/VIS-012-Configuraci-n-de-Jerarqu-a-de-Componentes-3D-2c587c56a82880649e7dc624bf27aaf0?pvs=21),"Entonces el sistema debe actualizar la relación padre-hijo, moviendo el rodamiento y todo su historial al nuevo padre.",VIS-012,72
Definición de un Rol Personalizado,AC-ADM-013-73,"Cuando crea el rol ""Auditor ISO"" y le asigna permisos de Solo Lectura en todas las áreas funcionales del sistema (Mantenimiento, Inventario, Visualización de Activos) pero ningún permiso de edición o borrado.","Dado que el Administrador necesita crear un perfil para ""Auditores Externos"".",ADM,ADM-013: Gestión de Roles y Matriz de Permisos (RBAC Industrial) (https://www.notion.so/ADM-013-Gesti-n-de-Roles-y-Matriz-de-Permisos-RBAC-Industrial-2c587c56a8288030a183d5a07a1d6b44?pvs=21),"Entonces el sistema guarda el rol y permite asignarlo a usuarios, garantizando que estos puedan consultar toda la información pero no realizar modificaciones operativas.",ADM-013,73
Granularidad de Acciones (Verbos),AC-ADM-013-74,"Cuando el Administrador despliega los permisos del módulo ""Órdenes de Trabajo"".","Dado que se está configurando el rol de ""Planificador"".",ADM,ADM-013: Gestión de Roles y Matriz de Permisos (RBAC Industrial) (https://www.notion.so/ADM-013-Gesti-n-de-Roles-y-Matriz-de-Permisos-RBAC-Industrial-2c587c56a8288030a183d5a07a1d6b44?pvs=21),"Entonces debe ver opciones separadas para: ""Crear"", ""Editar"", ""Eliminar"", ""Aprobar Planeación"" y ""Cerrar Técnicamente"".",ADM-013,74
Protección de Roles del Sistema,AC-ADM-013-75,Cuando el Administrador intenta eliminarlo o quitarle todos los permisos.,"Dado que existe el rol ""Super Admin"" (Root).",ADM,ADM-013: Gestión de Roles y Matriz de Permisos (RBAC Industrial) (https://www.notion.so/ADM-013-Gesti-n-de-Roles-y-Matriz-de-Permisos-RBAC-Industrial-2c587c56a8288030a183d5a07a1d6b44?pvs=21),"Entonces el sistema bloquea la acción con un mensaje de error crítico: ""No se puede modificar la integridad del rol raíz"".",ADM-013,75
Desactivación Segura (Soft-Delete),AC-ADM-014-76,"Cuando el Administrador hace clic en ""Desactivar Usuario"".","Dado que el usuario ""Juan Pérez"" ha dejado la empresa pero tiene 50 Órdenes de Trabajo cerradas en su historial.",ADM,ADM-014: Gestión de Usuarios y Ciclo de Vida Seguro (https://www.notion.so/ADM-014-Gesti-n-de-Usuarios-y-Ciclo-de-Vida-Seguro-2c587c56a8288040bb4ef345e87e96d0?pvs=21),"Entonces el sistema cambia su estado a INACTIVO, revoca su token de sesión actual, pero mantiene su nombre visible en todos los registros históricos (Auditoría Trail).",ADM-014,76
Bloqueo por Intentos Fallidos (Brute Force Protection),AC-ADM-014-77,Cuando falla el cuarto intento.,Dado que un usuario intenta iniciar sesión con una contraseña incorrecta 3 veces consecutivas.,ADM,ADM-014: Gestión de Usuarios y Ciclo de Vida Seguro (https://www.notion.so/ADM-014-Gesti-n-de-Usuarios-y-Ciclo-de-Vida-Seguro-2c587c56a8288040bb4ef345e87e96d0?pvs=21),Entonces el sistema bloquea la cuenta temporalmente por 15 minutos y envía una alerta de seguridad al correo registrado.,ADM-014,77
Recuperación de Contraseña (Self-Service),AC-ADM-014-78,Cuando solicita el restablecimiento desde la pantalla de Login.,Dado que un usuario olvidó su contraseña.,ADM,ADM-014: Gestión de Usuarios y Ciclo de Vida Seguro (https://www.notion.so/ADM-014-Gesti-n-de-Usuarios-y-Ciclo-de-Vida-Seguro-2c587c56a8288040bb4ef345e87e96d0?pvs=21),Entonces recibe un enlace seguro (token de un solo uso) con validez de 1 hora para definir una nueva credencial que cumpla la política de complejidad (mínimo 12 caracteres).,ADM-014,78
Prueba de conexión API exitosa,AC-ADM-015-79,"Cuando hace clic en el botón ""Probar Conexión"".","Dado que el Administrador está en la pantalla de ""Integraciones"" y ha ingresado una API Key válida del ERP.",ADM,ADM-015: Configuración de Integración ERP (Simulación) (https://www.notion.so/ADM-015-Configuraci-n-de-Integraci-n-ERP-Simulaci-n-2c587c56a82880a289c3e1c11af31b3b?pvs=21),"Entonces el sistema debe mostrar un mensaje de éxito: ""Conexión con ERP establecida"".",ADM-015,79
Prueba de conexión API fallida,AC-ADM-015-80,Cuando intenta probar la conexión con una API Key incorrecta o expirada.,"Dado que el Administrador está en la pantalla de ""Integraciones"".",ADM,ADM-015: Configuración de Integración ERP (Simulación) (https://www.notion.so/ADM-015-Configuraci-n-de-Integraci-n-ERP-Simulaci-n-2c587c56a82880a289c3e1c11af31b3b?pvs=21),"Entonces el sistema debe mostrar un mensaje de error claro: ""Fallo la autenticación. Verifique la API Key.""",ADM-015,80
Publicar anuncio a un rol específico,AC-ADM-016-81,"Cuando escribe un mensaje, selecciona el rol ""Técnico"" como destinatario y lo publica.","Dado que el Administrador está en la pantalla de ""Publicar Anuncio"".",ADM,ADM-016: Publicación de Anuncios del Sistema (https://www.notion.so/ADM-016-Publicaci-n-de-Anuncios-del-Sistema-2c587c56a828807e8020fb449e3e86d1?pvs=21),"Entonces solo los usuarios con el rol ""Técnico"" deben ver un banner con ese anuncio la próxima vez que inicien sesión.",ADM-016,81
Visualización de KPIs Globales,AC-ADM-017-82,"Cuando navega al módulo de ""Inteligencia de Mantenimiento"".",Dado que el Gerente ha iniciado sesión.,ADM,ADM-017: Dashboard Ejecutivo de KPIs (https://www.notion.so/ADM-017-Dashboard-Ejecutivo-de-KPIs-2c587c56a8288043914df61cd7bc6597?pvs=21),"Entonces el sistema debe mostrar los indicadores MTBF, MTTR y Disponibilidad del mes en curso para toda la planta, utilizando gráficos de tendencia (líneas) y medidores (gauges).",ADM-017,82
Filtrado por Rango de Fecha y Zona,AC-ADM-017-83,"Cuando selecciona el rango ""Último Trimestre"" y filtra por la zona ""Casa de Bombas"".",Dado que el Gerente está viendo el Dashboard General.,ADM,ADM-017: Dashboard Ejecutivo de KPIs (https://www.notion.so/ADM-017-Dashboard-Ejecutivo-de-KPIs-2c587c56a8288043914df61cd7bc6597?pvs=21),Entonces todos los gráficos deben recalcularse automáticamente para mostrar solo los datos de esa zona en ese periodo.,ADM-017,83
Drill-down a Activos Críticos (Pareto),AC-ADM-017-84,Cuando hace clic en la barra del activo más crítico (el número 1).,"Dado que el Gerente visualiza el gráfico de ""Top 10 Activos con más Paradas"" (Pareto).",ADM,ADM-017: Dashboard Ejecutivo de KPIs (https://www.notion.so/ADM-017-Dashboard-Ejecutivo-de-KPIs-2c587c56a8288043914df61cd7bc6597?pvs=21),"Entonces el sistema debe redirigirlo a la ""Hoja de Vida"" de ese activo específico para ver el detalle de sus últimas fallas.",ADM-017,84
Reporte descargado correctamente,AC-ADM-018-85,Cuando selecciona el mes a consultar y hace clic en “Descargar PDF”.,Dado que el Gerente está en la pantalla de “Inteligencia de Negocio”.,ADM,ADM-018: Exportación de Reportes en PDF (https://www.notion.so/ADM-018-Exportaci-n-de-Reportes-en-PDF-2c587c56a82880728fcefbb565bf678c?pvs=21),Entonces el sistema debe generar y descargar un archivo .pdf que contenga los gráficos de los indicadores seleccionados y mostrar el mensaje: “Reporte generado correctamente.”,ADM-018,85
Intento fallido por falta de datos,AC-ADM-018-86,Cuando el sistema detecta que no existen registros suficientes para calcular los indicadores.,Dado que el Gerente intenta descargar el reporte del mes seleccionado.,ADM,ADM-018: Exportación de Reportes en PDF (https://www.notion.so/ADM-018-Exportaci-n-de-Reportes-en-PDF-2c587c56a82880728fcefbb565bf678c?pvs=21),Entonces debe mostrar un mensaje de error: “No hay datos disponibles para generar el reporte del mes seleccionado.”,ADM-018,86
Exportación de Datos para BI,AC-ADM-019-87,"Cuando selecciona la opción ""Exportar Dataset estructurado"".",Dado que el Gerente está viendo el Dashboard de KPIs.,ADM,ADM-019: Sincronización de Datos con Herramientas BI (https://www.notion.so/ADM-019-Sincronizaci-n-de-Datos-con-Herramientas-BI-2c587c56a828805a9d29ddf7935a4a57?pvs=21),Entonces el sistema debe generar un archivo con formato compatible para ser importado en herramientas de oficina.,ADM-019,87
Conexión de Datos,AC-ADM-019-88,Cuando configura el conector con la interfaz de conexión programática del sistema y su credencial.,Dado que el Gerente utiliza una herramienta de BI externa.,ADM,ADM-019: Sincronización de Datos con Herramientas BI (https://www.notion.so/ADM-019-Sincronizaci-n-de-Datos-con-Herramientas-BI-2c587c56a828805a9d29ddf7935a4a57?pvs=21),Entonces la herramienta externa debe ser capaz de importar la tabla de datos históricos de KPIs y permitir su actualización automática.,ADM-019,88
Detección de Sobre-Mantenimiento,AC-ADM-022-89,"Cuando el Supervisor accede al módulo de ""Optimización PMO"".",Dado que un activo tiene mantenimientos preventivos mensuales y cero fallas registradas en los últimos 12 meses.,ADM,ADM-022: Sugerencias de Optimización (PMO) (https://www.notion.so/ADM-022-Sugerencias-de-Optimizaci-n-PMO-2c687c56a8288077a868ce5ee0cddaad?pvs=21),"Entonces el sistema debe mostrar una tarjeta de sugerencia: ""Activo [ID] con alta confiabilidad. Se sugiere aumentar frecuencia a Bimestral"".",ADM-022,89
Aplicación de Sugerencia,AC-ADM-022-90,"Cuando el Supervisor hace clic en ""Aplicar Cambio"".",Dado que el sistema muestra una sugerencia de cambio de frecuencia.,ADM,ADM-022: Sugerencias de Optimización (PMO) (https://www.notion.so/ADM-022-Sugerencias-de-Optimizaci-n-PMO-2c687c56a8288077a868ce5ee0cddaad?pvs=21),Entonces el Plan de Mantenimiento Preventivo asociado debe actualizarse automáticamente con la nueva frecuencia y registrar quién aprobó el cambio.,ADM-022,90
Cambio de Logo,AC-ADM-024-91,"Cuando carga un archivo de imagen (PNG/JPG) en el campo ""Logo Corporativo"" y guarda los cambios.","Dado que el Administrador se encuentra en la pantalla de ""Configuración General"".",ADM,ADM-024: Configuración General del Sistema (https://www.notion.so/ADM-024-Configuraci-n-General-del-Sistema-2c787c56a82880e898ade2a7463bb60c?pvs=21),Entonces el logo en la barra de navegación superior se actualiza inmediatamente para reflejar la nueva imagen.,ADM-024,91
Cambio de Zona Horaria,AC-ADM-024-92,"Cuando selecciona ""UTC-5 (Colombia)"" en la lista desplegable de Zona Horaria.",Dado que el Administrador está en la configuración regional y la hora actual del sistema está en UTC.,ADM,ADM-024: Configuración General del Sistema (https://www.notion.so/ADM-024-Configuraci-n-General-del-Sistema-2c787c56a82880e898ade2a7463bb60c?pvs=21),Entonces todas las fechas y horas mostradas en las Órdenes de Trabajo deben ajustarse automáticamente a la nueva zona seleccionada.,ADM-024,92
Captura de Modificación de Datos Críticos,AC-ADM-032-93,Cuando guarda los cambios.,"Dado que un Planificador cambia la ""Prioridad"" de una Orden de Trabajo de ""Alta"" a ""Baja"".",ADM,ADM-032: Sistema de Auditoríaoría Inmutable (Auditoría Trail) (https://www.notion.so/ADM-032-Sistema-de-Auditor-aor-a-Inmutable-Auditor-a-Trail-30e87c56a8288047a465f913d7ea075d?pvs=21),"Entonces el sistema registra automáticamente una entrada de auditoría con: Quién: ""Carlos.Gomez""; Cuándo: 2026-02-21 10:30:05 UTC; Qué: Entidad ""WorkOrder"", ID ""WO-1052""; Detalle: Campo ""Priority"" cambió de ""Alta"" a ""Baja"".",ADM-032,93
Consulta de Historial por Activo,AC-ADM-032-94,"Cuando filtra el registro de auditoría por ""EntityID = P-101"".","Dado que el Auditoríaor está investigando el historial del activo ""Bomba P-101"".",ADM,ADM-032: Sistema de Auditoríaoría Inmutable (Auditoría Trail) (https://www.notion.so/ADM-032-Sistema-de-Auditor-aor-a-Inmutable-Auditor-a-Trail-30e87c56a8288047a465f913d7ea075d?pvs=21),"Entonces visualiza una línea de tiempo completa de todos los cambios de estado, mantenimientos y modificaciones de atributos desde su creación.",ADM-032,94
Trazabilidad de Eliminación (Soft-Delete),AC-ADM-032-95,Cuando confirma la acción.,"Dado que un usuario intenta eliminar un registro de ""Repuesto"" del inventario maestro.",ADM,ADM-032: Sistema de Auditoríaoría Inmutable (Auditoría Trail) (https://www.notion.so/ADM-032-Sistema-de-Auditor-aor-a-Inmutable-Auditor-a-Trail-30e87c56a8288047a465f913d7ea075d?pvs=21),"Entonces el sistema marca el registro como inactivo (Soft-Delete) y crea una entrada de auditoría de tipo ""DELETE_ATTEMPT"" con la justificación ingresada (si aplica).",ADM-032,95
Modelo No Disponible (Degradación Elegante),AC-VIS-010-96,"Cuando intenta activar la opción ""Ver Despiece"".",Dado que el Técnico selecciona un activo cuyo modelo de despiece no ha sido cargado al repositorio.,VIS,VIS-010: Visualización de Despiece (Vista Explosionada) (https://www.notion.so/VIS-010-Visualizaci-n-de-Despiece-Vista-Explosionada-2c587c56a8288012879de8212fc850a9?pvs=21),"Entonces el sistema muestra un aviso claro (""Modelo de despiece no disponible para este activo"") sin bloquear el acceso al resto del panel de detalles del activo.",VIS-010,96
