Description,Global ID,ISO 25010:2023 Category,Last Edited,Last Edited By,Normative Reference,Priority,Related Story,Req ID,Status,TR,TR ID,Type
"The equipment unit record shall present a consolidated technical section with all captured parameters, allowing the update of non-critical attributes through audited processes.",120,Functional Suitability,"September 24, 2026 7:43 AM",juan david julio serrano,"ISO 14224:2016, Section 9.1a — Equipment Unit Data: master record attributes",Medium,Equipment Unit Technical Record Creation (https://app.notion.com/p/Equipment-Unit-Technical-Record-Creation-39287c56a82880d28210feaf39964894?pvs=21),FR-120,Approved,,,FR
Integrity and uniqueness validations must be performed in near real-time to guarantee a fluid interaction without blocking the operational interface.,121,Performance Efficiency,"September 24, 2026 7:43 AM",juan david julio serrano,ISO/IEC 25010:2023 — Performance Efficiency (Time behavior),High,Equipment Unit Technical Record Creation (https://app.notion.com/p/Equipment-Unit-Technical-Record-Creation-39287c56a82880d28210feaf39964894?pvs=21),NFR-121,Approved,,,NFR
"The system shall guarantee that the equipment unit creation is an atomic operation at the functional level: the record is fully committed, or no partial data is persisted in the event of an interruption.",122,Reliability,"September 24, 2026 7:43 AM",juan david julio serrano,ACID Database Transaction Properties (Atomicity),High,Equipment Unit Technical Record Creation (https://app.notion.com/p/Equipment-Unit-Technical-Record-Creation-39287c56a82880d28210feaf39964894?pvs=21),NFR-122,Approved,,,NFR
"The system shall maintain complete historical traceability of the technical record, prohibiting the physical deletion (hard delete) of records to preserve the integrity of reliability data.",123,Security,"September 24, 2026 7:43 AM",juan david julio serrano,"ISO 14224:2016, Section 5.6 — Data quality: preservation of historical data",Medium,Equipment Unit Technical Record Creation (https://app.notion.com/p/Equipment-Unit-Technical-Record-Creation-39287c56a82880d28210feaf39964894?pvs=21),NFR-123,Approved,,,NFR
The performance of the saving and registration process must complete in < 2 seconds under standard industrial connectivity conditions.,124,Performance Efficiency,"September 24, 2026 7:43 AM",juan david julio serrano,ISO/IEC 25010:2023 — Performance Efficiency (Time behavior),Medium,Equipment Unit Technical Record Creation (https://app.notion.com/p/Equipment-Unit-Technical-Record-Creation-39287c56a82880d28210feaf39964894?pvs=21),NFR-124,Approved,,,NFR
"The system shall allow the formal registration of material receipts, capturing the spare part, quantity, physical location, and linking the movement to the master audit log.",125,Functional Suitability,"September 24, 2026 7:51 AM",juan david julio serrano,"ISO 55001:2014, Clause 8.1 — Operational planning and control",High,Inventory Movement Management (https://app.notion.com/p/Inventory-Movement-Management-39287c56a82880d38f1ff79e90caf2be?pvs=21),FR-125,Approved,,,FR
The system shall dynamically calculate available stock considering physical quantities and pending reservations for scheduled maintenance.,126,Functional Suitability,"September 24, 2026 7:51 AM",juan david julio serrano,Wireman Vol 2 - MRO Inventory Management,High,Inventory Movement Management (https://app.notion.com/p/Inventory-Movement-Management-39287c56a82880d38f1ff79e90caf2be?pvs=21),FR-126,Approved,,,FR
"The system shall manage material issues associated with Work Orders, ensuring spare part consumption is traceable to the intervened Equipment Unit.",127,Functional Suitability,"September 24, 2026 7:51 AM",juan david julio serrano,"ISO 14224:2016, Section 5 — Data collection requirements",High,Inventory Movement Management (https://app.notion.com/p/Inventory-Movement-Management-39287c56a82880d38f1ff79e90caf2be?pvs=21),FR-127,Approved,,,FR
"The system shall allow the return of unused materials to the master inventory, managing cost reversal in the corresponding Work Orders.",128,Functional Suitability,"September 24, 2026 7:51 AM",juan david julio serrano,Wireman Vol 2 - MRO Inventory Management,High,Inventory Movement Management (https://app.notion.com/p/Inventory-Movement-Management-39287c56a82880d38f1ff79e90caf2be?pvs=21),FR-128,Approved,,,FR
The system shall issue automatic notifications upon detecting low stock or excess inventory conditions based on configured replenishment policies.,129,Functional Suitability,"September 24, 2026 7:51 AM",juan david julio serrano,Wireman Vol 2 - Replenishment Policies,High,Inventory Movement Management (https://app.notion.com/p/Inventory-Movement-Management-39287c56a82880d38f1ff79e90caf2be?pvs=21),FR-129,Approved,,,FR
The system shall provide querying and filtering capabilities on the inventory movement history for auditing and reconciliation purposes.,130,Functional Suitability,"September 24, 2026 7:51 AM",juan david julio serrano,"ISO 55001:2014, Clause 9.1 — Monitoring, measurement, analysis",Medium,Inventory Movement Management (https://app.notion.com/p/Inventory-Movement-Management-39287c56a82880d38f1ff79e90caf2be?pvs=21),FR-130,Approved,,,FR
"Upon successful completion of a material issue, the system shall allow generating a technical receipt of the operation containing transaction metadata.",131,Functional Suitability,"September 24, 2026 7:51 AM",juan david julio serrano,Wireman Vol 2 - MRO Inventory Management,Medium,Inventory Movement Management (https://app.notion.com/p/Inventory-Movement-Management-39287c56a82880d38f1ff79e90caf2be?pvs=21),FR-131,Approved,,,FR
"The system must guarantee that in the event of an interruption during a warehouse operation, the inventory does not enter an inconsistent or partially updated state.",132,Reliability,"September 24, 2026 7:51 AM",juan david julio serrano,ACID Database Transaction Properties (Atomicity),High,Inventory Movement Management (https://app.notion.com/p/Inventory-Movement-Management-39287c56a82880d38f1ff79e90caf2be?pvs=21),NFR-132,Approved,,,NFR
The stock validation engine must operate with minimal latency to avoid delaying material dispatch to operational personnel.,133,Performance Efficiency,"September 24, 2026 7:51 AM",juan david julio serrano,ISO/IEC 25010:2023 — Performance Efficiency (Time behavior),High,Inventory Movement Management (https://app.notion.com/p/Inventory-Movement-Management-39287c56a82880d38f1ff79e90caf2be?pvs=21),NFR-133,Approved,,,NFR
Inventory balances and costs assigned to Work Orders must always reflect the exact same value without mathematical discrepancies.,134,Security,"September 24, 2026 7:51 AM",juan david julio serrano,ACID Database Transaction Properties (Consistency),High,Inventory Movement Management (https://app.notion.com/p/Inventory-Movement-Management-39287c56a82880d38f1ff79e90caf2be?pvs=21),NFR-134,Approved,,,NFR
The system shall maintain acceptable response times during periods of high operational warehouse activity.,135,Performance Efficiency,"September 24, 2026 7:51 AM",juan david julio serrano,ISO/IEC 25010:2023 — Performance Efficiency (Capacity),Medium,Inventory Movement Management (https://app.notion.com/p/Inventory-Movement-Management-39287c56a82880d38f1ff79e90caf2be?pvs=21),NFR-135,Approved,,,NFR
"The system shall feature a background save retry mechanism in case of temporary connectivity loss, preventing the loss of registered inventory movements.",136,Reliability,"September 24, 2026 7:51 AM",juan david julio serrano,Offline-First Design Principles (Google Developers),Medium,Inventory Movement Management (https://app.notion.com/p/Inventory-Movement-Management-39287c56a82880d38f1ff79e90caf2be?pvs=21),NFR-136,Approved,,,NFR
"The system shall present a consolidated list of Equipment Units in preliminary or review status, with visual indicators of urgency and waiting time.",137,Functional Suitability,"September 24, 2026 7:51 AM",juan david julio serrano,Nielsen Norman Group (NN/g) - Information Visibility,High,New Equipment Unit Validation and Onboarding (https://app.notion.com/p/New-Equipment-Unit-Validation-and-Onboarding-39287c56a8288002a1e2fe57718cda8d?pvs=21),FR-137,Approved,,,FR
"The technical review interface shall highlight missing mandatory fields according to the Equipment Class, guiding the engineer in completing the technical record.",138,Functional Suitability,"September 24, 2026 7:51 AM",juan david julio serrano,Nielsen Norman Group (NN/g) - 10 Usability Heuristics (Error Prevention),High,New Equipment Unit Validation and Onboarding (https://app.notion.com/p/New-Equipment-Unit-Validation-and-Onboarding-39287c56a8288002a1e2fe57718cda8d?pvs=21),FR-138,Approved,,,FR
The system shall allow controlled editing of technical attributes during the technical validation process.,139,Functional Suitability,"September 24, 2026 7:51 AM",juan david julio serrano,"ISO 14224:2016, Section 9.1a — Equipment Unit Data",High,New Equipment Unit Validation and Onboarding (https://app.notion.com/p/New-Equipment-Unit-Validation-and-Onboarding-39287c56a8288002a1e2fe57718cda8d?pvs=21),FR-139,Approved,,,FR
"Upon approval, the Equipment Unit's technical data shall be immediately available throughout the system for use in planning and visualization.",140,Functional Suitability,"September 24, 2026 7:51 AM",juan david julio serrano,"ISO 55001:2014, Clause 7.5 — Documented information",High,New Equipment Unit Validation and Onboarding (https://app.notion.com/p/New-Equipment-Unit-Validation-and-Onboarding-39287c56a8288002a1e2fe57718cda8d?pvs=21),FR-140,Approved,,,FR
The system shall implement a technical return flow requiring mandatory documentation of the rejection reason for administrative traceability.,141,Functional Suitability,"September 24, 2026 7:51 AM",juan david julio serrano,"ISO 55001:2014, Clause 9.1 — Monitoring and evaluation",High,New Equipment Unit Validation and Onboarding (https://app.notion.com/p/New-Equipment-Unit-Validation-and-Onboarding-39287c56a8288002a1e2fe57718cda8d?pvs=21),FR-141,Approved,,,FR
"Following activation, the system shall allow the progressive enrichment of the technical record with advanced performance parameters and operating limits.",142,Functional Suitability,"September 24, 2026 7:51 AM",juan david julio serrano,"ISO 14224:2016, Section 5 — Data quality and enhancement",Medium,New Equipment Unit Validation and Onboarding (https://app.notion.com/p/New-Equipment-Unit-Validation-and-Onboarding-39287c56a8288002a1e2fe57718cda8d?pvs=21),FR-142,Approved,,,FR
The system shall generate technical reports on the commissioning status of Equipment Units to support asset management audits under ISO 55001.,143,Functional Suitability,"September 24, 2026 7:51 AM",juan david julio serrano,"ISO 55001:2014, Clause 9.2 — Internal audit",Medium,New Equipment Unit Validation and Onboarding (https://app.notion.com/p/New-Equipment-Unit-Validation-and-Onboarding-39287c56a8288002a1e2fe57718cda8d?pvs=21),FR-143,Approved,,,FR
The system must strictly validate the presence of all mandatory documentation prior to allowing a change in operational status.,144,Functional Suitability,"September 24, 2026 7:51 AM",juan david julio serrano,"ISO 14224:2016, Section 5 — Data collection requirements",High,New Equipment Unit Validation and Onboarding (https://app.notion.com/p/New-Equipment-Unit-Validation-and-Onboarding-39287c56a8288002a1e2fe57718cda8d?pvs=21),FR-144,Approved,,,FR
"Following the commissioning of an Equipment Unit, no system module shall present outdated or inconsistent data regarding the approved technical record.",145,Reliability,"September 24, 2026 7:51 AM",juan david julio serrano,ACID Database Transaction Properties (Consistency),High,New Equipment Unit Validation and Onboarding (https://app.notion.com/p/New-Equipment-Unit-Validation-and-Onboarding-39287c56a8288002a1e2fe57718cda8d?pvs=21),NFR-145,Approved,,,NFR
Queries for Equipment Units pending validation must respond in < 3 seconds even under high data load conditions.,146,Performance Efficiency,"September 24, 2026 7:51 AM",juan david julio serrano,ISO/IEC 25010:2023 — Performance Efficiency (Time behavior),Medium,New Equipment Unit Validation and Onboarding (https://app.notion.com/p/New-Equipment-Unit-Validation-and-Onboarding-39287c56a8288002a1e2fe57718cda8d?pvs=21),NFR-146,Approved,,,NFR
"The system shall communicate technical review results to relevant personnel through non-blocking notifications, without interrupting the main workflow.",147,Interaction Capability,"September 24, 2026 7:51 AM",juan david julio serrano,Nielsen Norman Group (NN/g) - Usability Heuristics (Visibility of System Status),Medium,New Equipment Unit Validation and Onboarding (https://app.notion.com/p/New-Equipment-Unit-Validation-and-Onboarding-39287c56a8288002a1e2fe57718cda8d?pvs=21),NFR-147,Approved,,,NFR
"The system shall monitor available stock levels, generating automatic notifications with differentiated severity levels based on the spare part's technical classification.",149,Functional Suitability,"September 24, 2026 7:51 AM",juan david julio serrano,"ISO 55001:2014, Clause 8.1 — Operational planning and control",High,Replenishment Monitor (Stock Alerts) (https://app.notion.com/p/Replenishment-Monitor-Stock-Alerts-39287c56a828807b9387f498d94f6f6b?pvs=21),FR-149,Approved,,,FR
"The management dashboard shall present the consolidated status of active alerts, allowing filtering by priority, location, and technical material type.",150,Functional Suitability,"September 24, 2026 7:51 AM",juan david julio serrano,Nielsen Norman Group (NN/g) - Information Filtering,High,Replenishment Monitor (Stock Alerts) (https://app.notion.com/p/Replenishment-Monitor-Stock-Alerts-39287c56a828807b9387f498d94f6f6b?pvs=21),FR-150,Approved,,,FR
"The system shall integrate the alert flow with the generation of internal material requisitions, pre-filling technical information for subsequent export or integration.",151,Functional Suitability,"September 24, 2026 7:51 AM",juan david julio serrano,Wireman Vol 2 - Replenishment Policies,High,Replenishment Monitor (Stock Alerts) (https://app.notion.com/p/Replenishment-Monitor-Stock-Alerts-39287c56a828807b9387f498d94f6f6b?pvs=21),FR-151,Approved,,,FR
"Resolving low-stock conditions shall trigger the automatic closure of related alerts, maintaining chronological integrity between inventory receipt and normalization.",152,Functional Suitability,"September 24, 2026 7:51 AM",juan david julio serrano,"ISO 55001:2014, Clause 8.1 — Operational planning and control",High,Replenishment Monitor (Stock Alerts) (https://app.notion.com/p/Replenishment-Monitor-Stock-Alerts-39287c56a828807b9387f498d94f6f6b?pvs=21),FR-152,Approved,,,FR
"The system shall allow the periodic consolidation of requirements for low-turnover or minor-criticality materials, optimizing warehouse administrative management.",153,Functional Suitability,"September 24, 2026 7:51 AM",juan david julio serrano,Wireman Vol 2 - MRO Inventory Management,Medium,Replenishment Monitor (Stock Alerts) (https://app.notion.com/p/Replenishment-Monitor-Stock-Alerts-39287c56a828807b9387f498d94f6f6b?pvs=21),FR-153,Approved,,,FR
Authorized personnel may dynamically adjust safety thresholds and reorder points according to seasonal variations or operational demand.,154,Functional Suitability,"September 24, 2026 7:51 AM",juan david julio serrano,"ISO 55001:2014, Clause 8.1 — Operational planning and control",Medium,Replenishment Monitor (Stock Alerts) (https://app.notion.com/p/Replenishment-Monitor-Stock-Alerts-39287c56a828807b9387f498d94f6f6b?pvs=21),FR-154,Approved,,,FR
"The system shall provide executive reports on replenishment efficiency, analyzing response times to critical alerts.",155,Functional Suitability,"September 24, 2026 7:51 AM",juan david julio serrano,"ISO 55001:2014, Clause 9.1 — Monitoring, measurement, analysis",Low,Replenishment Monitor (Stock Alerts) (https://app.notion.com/p/Replenishment-Monitor-Stock-Alerts-39287c56a828807b9387f498d94f6f6b?pvs=21),FR-155,Approved,,,FR
The detection of critical stock conditions must be performed with sufficient frequency to guarantee operational information accuracy after each transaction.,156,Performance Efficiency,"September 24, 2026 7:51 AM",juan david julio serrano,ISO/IEC 25010:2023 — Performance Efficiency (Time behavior),High,Replenishment Monitor (Stock Alerts) (https://app.notion.com/p/Replenishment-Monitor-Stock-Alerts-39287c56a828807b9387f498d94f6f6b?pvs=21),NFR-156,Approved,,,NFR
"The system shall centralize alert delivery via a notification panel within the user interface, allowing responsible personnel to immediately visualize criticality.",157,Interaction Capability,"September 24, 2026 7:51 AM",juan david julio serrano,Nielsen Norman Group (NN/g) - Usability Heuristics (Visibility of System Status),High,Replenishment Monitor (Stock Alerts) (https://app.notion.com/p/Replenishment-Monitor-Stock-Alerts-39287c56a828807b9387f498d94f6f6b?pvs=21),NFR-157,Approved,,,NFR
The alert monitoring interface must support the efficient visualization of active requirements with a load response of < 2 seconds.,158,Performance Efficiency,"September 24, 2026 7:51 AM",juan david julio serrano,ISO/IEC 25010:2023 — Performance Efficiency (Capacity),Medium,Replenishment Monitor (Stock Alerts) (https://app.notion.com/p/Replenishment-Monitor-Stock-Alerts-39287c56a828807b9387f498d94f6f6b?pvs=21),NFR-158,Approved,,,NFR
The configuration of master inventory parameters must propagate to the system's validation rules consistently to ensure new thresholds are applied immediately.,159,Reliability,"September 24, 2026 7:51 AM",juan david julio serrano,ISO/IEC 25010:2023 — Reliability (Consistency),Medium,Replenishment Monitor (Stock Alerts) (https://app.notion.com/p/Replenishment-Monitor-Stock-Alerts-39287c56a828807b9387f498d94f6f6b?pvs=21),NFR-159,Approved,,,NFR
"The system shall allow the creation of root nodes for the industrial taxonomy, complying with the hierarchical levels defined in the ISO 14224 standard.",160,Functional Suitability,"September 24, 2026 7:51 AM",juan david julio serrano,"ISO 14224:2016, Section 6 — Taxonomy: definition of equipment hierarchy",High,Functional Locations Creation (https://app.notion.com/p/Functional-Locations-Creation-39287c56a8288099bd87f70c2e4837b5?pvs=21),FR-160,Approved,,,FR
"The system shall validate that each new Functional Location maintains a coherent hierarchical relationship with its parent node, preventing the creation of disordered levels.",161,Functional Suitability,"September 24, 2026 7:57 AM",juan david julio serrano,"ISO 14224:2016, Section 6 — Taxonomy constraints",High,Functional Locations Creation (https://app.notion.com/p/Functional-Locations-Creation-39287c56a8288099bd87f70c2e4837b5?pvs=21),FR-161,Approved,,,FR
"The system shall provide functions to dynamically reorganize the technical tree structure, validating relationship integrity upon every structural adjustment.",162,Functional Suitability,"September 24, 2026 7:57 AM",juan david julio serrano,"ISO 14224:2016, Section 6 — Taxonomy management",High,Functional Locations Creation (https://app.notion.com/p/Functional-Locations-Creation-39287c56a8288099bd87f70c2e4837b5?pvs=21),FR-162,Approved,,,FR
The system shall restrict the deletion of technical locations that have installed Equipment Units or active hierarchical dependencies to prevent data orphanage.,163,Functional Suitability,"September 24, 2026 7:57 AM",juan david julio serrano,ACID Database Transaction Properties (Referential Integrity),High,Functional Locations Creation (https://app.notion.com/p/Functional-Locations-Creation-39287c56a8288099bd87f70c2e4837b5?pvs=21),FR-163,Approved,,,FR
The system shall include technical search capabilities to rapidly locate operational positions within the complex organizational structure.,164,Functional Suitability,"September 24, 2026 7:57 AM",juan david julio serrano,Nielsen Norman Group (NN/g) - Search & Findability,Low,Functional Locations Creation (https://app.notion.com/p/Functional-Locations-Creation-39287c56a8288099bd87f70c2e4837b5?pvs=21),FR-164,Approved,,,FR
The system shall allow the generation of reports detailing the complete Functional Location architecture to support strategic planning processes.,165,Functional Suitability,"September 24, 2026 7:57 AM",juan david julio serrano,"ISO 55001:2014, Clause 9.1 — Monitoring",Low,Functional Locations Creation (https://app.notion.com/p/Functional-Locations-Creation-39287c56a8288099bd87f70c2e4837b5?pvs=21),FR-165,Approved,,,FR
"The visualization of the complete hierarchy must be fluid, allowing navigation through extensive structures with a load response of < 3 seconds.",166,Performance Efficiency,"September 24, 2026 7:57 AM",juan david julio serrano,ISO/IEC 25010:2023 — Performance Efficiency (Time behavior),High,Functional Locations Creation (https://app.notion.com/p/Functional-Locations-Creation-39287c56a8288099bd87f70c2e4837b5?pvs=21),NFR-166,Approved,,,NFR
Integrity validations and cycle detection must execute in < 1 second to ensure an immediate user experience.,167,Performance Efficiency,"September 24, 2026 7:57 AM",juan david julio serrano,ISO/IEC 25010:2023 — Performance Efficiency (Time behavior),High,Functional Locations Creation (https://app.notion.com/p/Functional-Locations-Creation-39287c56a8288099bd87f70c2e4837b5?pvs=21),NFR-167,Approved,,,NFR
"Restructuring operations must be executed under an ""all or nothing"" scheme, ensuring the hierarchy never enters a partial or broken state.",168,Reliability,"September 24, 2026 7:57 AM",juan david julio serrano,ACID Database Transaction Properties (Atomicity),Medium,Functional Locations Creation (https://app.notion.com/p/Functional-Locations-Creation-39287c56a8288099bd87f70c2e4837b5?pvs=21),NFR-168,Approved,,,NFR
"The system must handle simultaneous editing of the technical structure, ensuring that changes from different engineers are not overwritten and operational inconsistencies are not generated.",169,Reliability,"September 24, 2026 7:57 AM",juan david julio serrano,ACID Database Transaction Properties (Isolation),Medium,Functional Locations Creation (https://app.notion.com/p/Functional-Locations-Creation-39287c56a8288099bd87f70c2e4837b5?pvs=21),NFR-169,Approved,,,NFR
"The system shall allow the creation of spare parts by capturing their unique identifier (SKU), technical description, manufacturer, and industrial classification.",170,Functional Suitability,"September 24, 2026 7:57 AM",juan david julio serrano,Wireman Vol 2 - MRO Inventory Management,High,Part Master Catalog Management (https://app.notion.com/p/Part-Master-Catalog-Management-39287c56a82880e5b7c9dd7991c3cb47?pvs=21),FR-170,Approved,,,FR
"The system shall identify potential duplicate records by comparing technical attributes during the registration process, notifying the user to ensure master catalog purity.",171,Functional Suitability,"September 24, 2026 7:57 AM",juan david julio serrano,Wireman Vol 2 - MRO Data Quality,High,Part Master Catalog Management (https://app.notion.com/p/Part-Master-Catalog-Management-39287c56a82880e5b7c9dd7991c3cb47?pvs=21),FR-171,Approved,,,FR
"The system shall provide a hierarchical selector for material classification, allowing navigation through technical classes, families, and groups according to ISO 14224.",172,Functional Suitability,"September 24, 2026 7:57 AM",juan david julio serrano,"ISO 14224:2016, Section 6 — Taxonomy",High,Part Master Catalog Management (https://app.notion.com/p/Part-Master-Catalog-Management-39287c56a82880e5b7c9dd7991c3cb47?pvs=21),FR-172,Approved,,,FR
"The system shall dynamically configure inventory management fields (e.g., reorder points, locations) based on the material's supply policy.",173,Functional Suitability,"September 24, 2026 7:57 AM",juan david julio serrano,Wireman Vol 2 - Replenishment Policies,High,Part Master Catalog Management (https://app.notion.com/p/Part-Master-Catalog-Management-39287c56a82880e5b7c9dd7991c3cb47?pvs=21),FR-173,Approved,,,FR
The system shall allow the update of technical attributes and stock policies for existing spare parts under a technical version control scheme.,174,Functional Suitability,"September 24, 2026 7:57 AM",juan david julio serrano,"ISO 55001:2014, Clause 7.5 — Documented information",Medium,Part Master Catalog Management (https://app.notion.com/p/Part-Master-Catalog-Management-39287c56a82880e5b7c9dd7991c3cb47?pvs=21),FR-174,Approved,,,FR
"The system shall include technical search capabilities to locate materials using multiple criteria, optimizing response times for critical Equipment Unit spare part requests.",175,Functional Suitability,"September 24, 2026 7:57 AM",juan david julio serrano,Nielsen Norman Group (NN/g) - Search & Findability,Medium,Part Master Catalog Management (https://app.notion.com/p/Part-Master-Catalog-Management-39287c56a82880e5b7c9dd7991c3cb47?pvs=21),FR-175,Approved,,,FR
The system shall allow generating consolidated reports of the master spare parts catalog to facilitate cyclical inventory and technical audit processes.,176,Functional Suitability,"September 24, 2026 7:57 AM",juan david julio serrano,"ISO 55001:2014, Clause 9.2 — Internal audit",Low,Part Master Catalog Management (https://app.notion.com/p/Part-Master-Catalog-Management-39287c56a82880e5b7c9dd7991c3cb47?pvs=21),FR-176,Approved,,,FR
The uniqueness validation of spare part identifiers must be performed immediately (< 1 second) to ensure administrative process fluidity.,177,Performance Efficiency,"September 24, 2026 7:57 AM",juan david julio serrano,ISO/IEC 25010:2023 — Performance Efficiency (Time behavior),High,Part Master Catalog Management (https://app.notion.com/p/Part-Master-Catalog-Management-39287c56a82880e5b7c9dd7991c3cb47?pvs=21),NFR-177,Approved,,,NFR
The redundancy analysis for duplicate detection must complete in < 2 seconds to minimize redundant record creation without degrading user experience.,178,Performance Efficiency,"September 24, 2026 7:57 AM",juan david julio serrano,ISO/IEC 25010:2023 — Performance Efficiency (Time behavior),High,Part Master Catalog Management (https://app.notion.com/p/Part-Master-Catalog-Management-39287c56a82880e5b7c9dd7991c3cb47?pvs=21),NFR-178,Approved,,,NFR
"Taxonomic validation and category navigation must be immediate (< 1 second), ensuring users can classify items without perceptible delays.",179,Performance Efficiency,"September 24, 2026 7:57 AM",juan david julio serrano,ISO/IEC 25010:2023 — Performance Efficiency (Time behavior),High,Part Master Catalog Management (https://app.notion.com/p/Part-Master-Catalog-Management-39287c56a82880e5b7c9dd7991c3cb47?pvs=21),NFR-179,Approved,,,NFR
The system must guarantee consistent search performance even when handling extensive industrial-level material catalogs.,180,Performance Efficiency,"September 24, 2026 7:57 AM",juan david julio serrano,ISO/IEC 25010:2023 — Performance Efficiency (Capacity),Medium,Part Master Catalog Management (https://app.notion.com/p/Part-Master-Catalog-Management-39287c56a82880e5b7c9dd7991c3cb47?pvs=21),NFR-180,Approved,,,NFR
The system shall ensure technical consistency in transactions through the automatic validation and conversion of standardized Units of Measure (UoM).,181,Functional Suitability,"September 24, 2026 7:57 AM",juan david julio serrano,ISO 80000 - Quantities and Units,Medium,Part Master Catalog Management (https://app.notion.com/p/Part-Master-Catalog-Management-39287c56a82880e5b7c9dd7991c3cb47?pvs=21),FR-181,Approved,,,FR
"The system shall allow the HSEQ Inspector to toggle the ""Work Permits"" layer, which shall overlay the current 2D/3D Digital Twin view without obscuring the base context.",182,Functional Suitability,"September 24, 2026 7:57 AM",juan david julio serrano,The High Performance HMI Handbook (Hollifield),High,Work Permit Layer Visualization (https://app.notion.com/p/Work-Permit-Layer-Visualization-39287c56a8288049aec5de9a1b599c94?pvs=21),FR-182,Approved,,,FR
"The system shall render visual icons for each Work Permit aligned with the HPHMI philosophy, utilizing redundant coding (Color + Shape) against the industrial gray background.",183,Functional Suitability,"September 24, 2026 7:57 AM",juan david julio serrano,The High Performance HMI Handbook (Redundant Coding),High,Work Permit Layer Visualization (https://app.notion.com/p/Work-Permit-Layer-Visualization-39287c56a8288049aec5de9a1b599c94?pvs=21),FR-183,Approved,,,FR
"Clicking on a Permit icon shall deploy a compact pop-up card without obscuring the map context, containing minimum data: Permit Type, Contractor, HSEQ Responsible, Start/End Time, Status, and a 'View Details' action.",184,Functional Suitability,"September 24, 2026 7:57 AM",juan david julio serrano,Nielsen Norman Group (NN/g) - Popups and Overlays,High,Work Permit Layer Visualization (https://app.notion.com/p/Work-Permit-Layer-Visualization-39287c56a8288049aec5de9a1b599c94?pvs=21),FR-184,Approved,,,FR
"The system shall implement Integrity Validation (Orphan Detection): for each active Work Permit, it shall validate the existence of a corresponding 2D/3D object Tag in the loaded view, generating a visual alert if the link is broken.",185,Functional Suitability,"September 24, 2026 7:57 AM",juan david julio serrano,"ISO 55001:2014, Clause 7.5 — Documented information",High,Work Permit Layer Visualization (https://app.notion.com/p/Work-Permit-Layer-Visualization-39287c56a8288049aec5de9a1b599c94?pvs=21),FR-185,Approved,,,FR
"The system shall display a collapsible side panel titled ""Visualization Failures"" listing all Permits with broken links, enabling the user to resolve them and automatically update the map icon.",186,Functional Suitability,"September 24, 2026 7:57 AM",juan david julio serrano,Nielsen Norman Group (NN/g) - Error Recovery,High,Work Permit Layer Visualization (https://app.notion.com/p/Work-Permit-Layer-Visualization-39287c56a8288049aec5de9a1b599c94?pvs=21),FR-186,Approved,,,FR
"The system shall synchronize permits in near real-time from the origin service, adding, removing, and updating statuses without page refreshes, and displaying an alert if the service stops responding.",187,Functional Suitability,"September 24, 2026 7:57 AM",juan david julio serrano,WebSockets / SSE Architecture Guidelines,Medium,Work Permit Layer Visualization (https://app.notion.com/p/Work-Permit-Layer-Visualization-39287c56a8288049aec5de9a1b599c94?pvs=21),FR-187,Approved,,,FR
"The system shall allow filtering visible permits by type (e.g., Hot Work, Heights, Confined Space) via selection controls, preserving the state during the user session.",188,Functional Suitability,"September 24, 2026 7:57 AM",juan david julio serrano,Nielsen Norman Group (NN/g) - Information Filtering,Medium,Work Permit Layer Visualization (https://app.notion.com/p/Work-Permit-Layer-Visualization-39287c56a8288049aec5de9a1b599c94?pvs=21),FR-188,Approved,,,FR
"Hovering the cursor over a Permit icon shall display a compact tooltip showing the Type, Contractor, and action indicator, which disappears when the cursor is removed.",189,Functional Suitability,"September 24, 2026 7:57 AM",juan david julio serrano,Nielsen Norman Group (NN/g) - Tooltips,Low,Work Permit Layer Visualization (https://app.notion.com/p/Work-Permit-Layer-Visualization-39287c56a8288049aec5de9a1b599c94?pvs=21),FR-189,Approved,,,FR
The rendering of the permits layer (up to 100 simultaneous icons) must target >= 30 FPS on mobile and >= 60 FPS on desktop during panning and zooming to prevent map degradation.,190,Performance Efficiency,"September 24, 2026 7:57 AM",juan david julio serrano,ISO/IEC 25010:2023 — Performance Efficiency (Time behavior),High,Work Permit Layer Visualization (https://app.notion.com/p/Work-Permit-Layer-Visualization-39287c56a8288049aec5de9a1b599c94?pvs=21),NFR-190,Approved,,,NFR
Orphan Detection integrity validation must complete in < 5 seconds for a dataset of up to 100 active permits cross-referenced against the loaded model.,191,Performance Efficiency,"September 24, 2026 7:57 AM",juan david julio serrano,ISO/IEC 25010:2023 — Performance Efficiency (Time behavior),High,Work Permit Layer Visualization (https://app.notion.com/p/Work-Permit-Layer-Visualization-39287c56a8288049aec5de9a1b599c94?pvs=21),NFR-191,Approved,,,NFR
Work Permit status changes must be reflected on the map within a maximum of 5 seconds from the source update.,192,Performance Efficiency,"September 24, 2026 7:57 AM",juan david julio serrano,ISO/IEC 25010:2023 — Performance Efficiency (Time behavior),High,Work Permit Layer Visualization (https://app.notion.com/p/Work-Permit-Layer-Visualization-39287c56a8288049aec5de9a1b599c94?pvs=21),NFR-192,Approved,,,NFR
