Scenario,AC ID,Epic,Given (Context),Then (Result),US ID,UUID,User Story,When (Action)
Revoke active permissions,AC-ADM-013-75,ADM,Given an active user is logged in.,Then the user is automatically logged out or blocked upon their next system interaction.,ADM-013,75,Role and Permission Matrix Management (Industrial RBAC) (https://app.notion.com/p/Role-and-Permission-Matrix-Management-Industrial-RBAC-39287c56a82880cb8ecbdb8f543ca3ba?pvs=21),When the Administrator immediately revokes their permissions from the dashboard.
Disable inactive users,AC-ADM-014-76,ADM,Given an employee contract has ended.,"Then the user's login credentials are disabled, but their associated historical records and audits remain intact.",ADM-014,76,User Management and Secure Life Cycle (https://app.notion.com/p/User-Management-and-Secure-Life-Cycle-39287c56a828805593eaccd88c063e0f?pvs=21),When the Administrator marks the user profile as 'Inactive'.
Successful login,AC-ADM-014-77,ADM,Given a user has valid credentials.,Then the system authenticates the session and redirects them to their role-specific dashboard.,ADM-014,77,User Management and Secure Life Cycle (https://app.notion.com/p/User-Management-and-Secure-Life-Cycle-39287c56a828805593eaccd88c063e0f?pvs=21),When they input their username and password in the portal.
Locked account after failed attempts,AC-ADM-014-78,ADM,Given a user enters incorrect passwords multiple times.,Then the system locks the account temporarily and sends an alert to the Administrator.,ADM-014,78,User Management and Secure Life Cycle (https://app.notion.com/p/User-Management-and-Secure-Life-Cycle-39287c56a828805593eaccd88c063e0f?pvs=21),When they reach the maximum threshold of 5 failed attempts.
Manual ERP Sync Request,AC-ADM-015-79,ADM,Given the ERP sync process is scheduled nightly.,Then the system immediately triggers the data exchange protocol with the ERP endpoint.,ADM-015,79,ERP Integration Configuration (Simulation) (https://app.notion.com/p/ERP-Integration-Configuration-Simulation-39287c56a82880728f94e209eff9a896?pvs=21),When the Administrator clicks 'Force Synchronization Now'.
Sync error recovery,AC-ADM-015-80,ADM,Given an ERP synchronization attempt fails due to timeout.,"Then it logs the error, alerts the Administrator, and queues the payload for automatic retry on the next cycle.",ADM-015,80,ERP Integration Configuration (Simulation) (https://app.notion.com/p/ERP-Integration-Configuration-Simulation-39287c56a82880728f94e209eff9a896?pvs=21),When the system detects the failure.
Dismiss Global Announcement,AC-ADM-016-81,ADM,Given a global announcement is active on the user's dashboard.,Then the system removes the banner for that specific user while retaining it for others who haven't dismissed it.,ADM-016,81,System Announcements Publishing (https://app.notion.com/p/System-Announcements-Publishing-39287c56a828804ab71ccfaa2c4e8f54?pvs=21),When the user clicks the 'Acknowledge/Dismiss' button.
Announcement Expiration,AC-ADM-017-82,ADM,Given a global announcement has a defined expiration date.,Then the system automatically hides the announcement from all user dashboards.,ADM-017,82,Executive KPIs Dashboard (https://app.notion.com/p/Executive-KPIs-Dashboard-39287c56a828803bb408cea4bc1c120a?pvs=21),When the system clock surpasses the expiration date.
KPI Dashboard filtering by date range,AC-ADM-017-83,ADM,Given the Plant Manager is viewing the Executive Dashboard.,Then the MTBF and MTTR metrics automatically recalculate to reflect only that specific period.,ADM-017,83,Executive KPIs Dashboard (https://app.notion.com/p/Executive-KPIs-Dashboard-39287c56a828803bb408cea4bc1c120a?pvs=21),When they adjust the date range filter to the 'Last Quarter'.
KPI Dashboard filtering by Technical Class,AC-ADM-017-84,ADM,Given the Executive Dashboard is loaded.,Then the displayed charts and metrics isolate the reliability data exclusively for those equipment units.,ADM-017,84,Executive KPIs Dashboard (https://app.notion.com/p/Executive-KPIs-Dashboard-39287c56a828803bb408cea4bc1c120a?pvs=21),When the user filters by the 'Centrifugal Pumps' technical class.
Schedule automatic report via Email,AC-ADM-018-85,ADM,Given the Plant Manager configures a monthly KPI report.,Then the system automatically generates the PDF and sends it via email at the scheduled date and time.,ADM-018,85,PDF Report Export (https://app.notion.com/p/PDF-Report-Export-39287c56a828804f9042ef70aee4d487?pvs=21),When they set the delivery email and schedule it for the first day of the month.
Failed report export due to missing data,AC-ADM-018-86,ADM,Given the Manager attempts to download a report for a specific month.,Then it displays an error message stating there is no data available to generate the report.,ADM-018,86,PDF Report Export (https://app.notion.com/p/PDF-Report-Export-39287c56a828804f9042ef70aee4d487?pvs=21),When the system detects insufficient records to calculate the indicators.
Data Export for BI,AC-ADM-019-87,ADM,Given the Manager is viewing the KPI Dashboard.,"Then the system generates a compatible format file (e.g., CSV) for import into office tools.",ADM-019,87,Data Synchronization with BI Tools (https://app.notion.com/p/Data-Synchronization-with-BI-Tools-39287c56a82880e8ae56f4aa70cc4064?pvs=21),When they select the 'Export Structured Dataset' option.
BI Data Connection (API),AC-ADM-019-88,ADM,Given the Manager uses an external BI tool.,Then the external tool imports the historical KPI data table and enables automatic updates.,ADM-019,88,Data Synchronization with BI Tools (https://app.notion.com/p/Data-Synchronization-with-BI-Tools-39287c56a82880e8ae56f4aa70cc4064?pvs=21),When they configure the connector with the system's programmatic API and credentials.
Over-maintenance detection,AC-ADM-022-89,ADM,Given an equipment unit has monthly preventive maintenance and zero registered failures in the last 12 months.,Then the system displays a suggestion card: 'Equipment Unit [ID] shows high reliability. Suggested to decrease frequency to Bimonthly'.,ADM-022,89,Optimization Suggestions (PMO) (https://app.notion.com/p/Optimization-Suggestions-PMO-39287c56a82880249b32f2be7a7412c7?pvs=21),When the Supervisor accesses the PMO Optimization module.
Apply frequency change suggestion,AC-ADM-022-90,ADM,Given the system displays a frequency change suggestion.,"Then the associated Preventive Maintenance Plan is automatically updated with the new frequency, recording the approving user.",ADM-022,90,Optimization Suggestions (PMO) (https://app.notion.com/p/Optimization-Suggestions-PMO-39287c56a82880249b32f2be7a7412c7?pvs=21),When the Supervisor clicks 'Apply Change'.
Change Corporate Logo,AC-ADM-024-91,ADM,Given the Administrator is in the 'General Settings' screen.,Then the logo in the top navigation bar immediately updates to reflect the new image.,ADM-024,91,General System Configuration (https://app.notion.com/p/General-System-Configuration-39287c56a82880699e90ed2551370355?pvs=21),When they upload an image file (PNG/JPG) into the 'Corporate Logo' field and save.
Change System Time Zone,AC-ADM-024-92,ADM,Given the Administrator is in regional settings and the current time is UTC.,Then all dates and times shown on Work Orders automatically adjust to the newly selected zone.,ADM-024,92,General System Configuration (https://app.notion.com/p/General-System-Configuration-39287c56a82880699e90ed2551370355?pvs=21),When they select 'UTC-5 (Colombia)' from the dropdown list.
Critical Data Modification capture,AC-ADM-032-93,ADM,Given a Planner changes a Work Order's 'Priority' from 'High' to 'Low'.,"Then the system automatically logs an audit entry detailing: Who, When, Entity, and the specific field change from 'High' to 'Low'.",ADM-032,93,Immutable Audit System (https://app.notion.com/p/Immutable-Audit-System-39287c56a82880f4a628e38a700f155f?pvs=21),When they save the changes.
Query Equipment Unit Audit History,AC-ADM-032-94,ADM,Given the Auditor is investigating the history of equipment unit 'Pump P-101'.,"Then they view a complete timeline of all status changes, maintenance, and attribute modifications since its creation.",ADM-032,94,Immutable Audit System (https://app.notion.com/p/Immutable-Audit-System-39287c56a82880f4a628e38a700f155f?pvs=21),When they filter the audit log by the specific entity ID.
Soft-delete traceability,AC-ADM-032-95,ADM,Given a user attempts to delete a 'Spare Part' record from the master inventory.,Then the system marks the record as inactive (Soft-Delete) and creates a 'DELETE_ATTEMPT' audit entry with the provided justification.,ADM-032,95,Immutable Audit System (https://app.notion.com/p/Immutable-Audit-System-39287c56a82880f4a628e38a700f155f?pvs=21),When they confirm the action.
3D Model unavailable (Graceful Degradation),AC-VIS-010-96,VIS,Given the Technician selects an equipment unit whose exploded model is not loaded in the repository.,Then the system displays a clear notice that the model is unavailable without blocking access to the rest of the details panel.,VIS-010,96,Exploded View Visualization (https://app.notion.com/p/Exploded-View-Visualization-39287c56a82880b9b318c66ced520ca6?pvs=21),When they attempt to activate the 'View Exploded' option.
Usage-based plan creation,AC-MTTO-023-97,MTTO,Given the Planner is authenticated and the equipment unit has a configured usage sensor.,Then the system saves the plan and displays the current counter value alongside the target activation value.,MTTO-023,97,Usage or Telemetry-Based Preventive Maintenance Scheduling (https://app.notion.com/p/Usage-or-Telemetry-Based-Preventive-Maintenance-Scheduling-39287c56a8288004b31df9fc4c104021?pvs=21),"When they define a preventive plan setting an activation threshold (e.g., every 1000 operating hours)."
Work order generation via telemetry,AC-MTTO-023-98,MTTO,Given an active preventive plan is configured to trigger at 5000 operating hours.,Then the system automatically generates the preventive Work Order and updates the target for the next intervention.,MTTO-023,98,Usage or Telemetry-Based Preventive Maintenance Scheduling (https://app.notion.com/p/Usage-or-Telemetry-Based-Preventive-Maintenance-Scheduling-39287c56a8288004b31df9fc4c104021?pvs=21),When the Plant SCADA/IoT transmits a reading that meets or exceeds the threshold.
Inconsistent reading alert,AC-MTTO-023-99,MTTO,Given the system receives real-time telemetry readings.,"Then the system rejects the reading, generates a data inconsistency alert, and maintains the counter at its last valid value.",MTTO-023,99,Usage or Telemetry-Based Preventive Maintenance Scheduling (https://app.notion.com/p/Usage-or-Telemetry-Based-Preventive-Maintenance-Scheduling-39287c56a8288004b31df9fc4c104021?pvs=21),When a usage reading lower than the historical accumulated value is received (counter decrement).
Successful equipment unit swap,AC-INV-025-100,INV,Given a Functional Location has an assigned physical equipment unit (A) and an identical replacement unit (B) is available in the warehouse.,"Then the system unlinks unit (A) setting its status to 'In Repair', links unit (B) to the location setting it to 'Operational', and logs the structural audit transaction.",INV-025,100,Equipment Swap (https://app.notion.com/p/Equipment-Swap-39287c56a82880708eccc6339f49ec9a?pvs=21),"When the user executes the swap action, associating it to a Work Order."
Swap blocked due to non-operational replacement,AC-INV-025-101,INV,Given the user selects a replacement equipment unit from inventory.,"Then the system blocks the swap process, issues an incompatibility alert, and does not alter the location's configuration.",INV-025,101,Equipment Swap (https://app.notion.com/p/Equipment-Swap-39287c56a82880708eccc6339f49ec9a?pvs=21),"When said unit is in 'Damaged' or 'Decommissioned' status, or already assigned elsewhere."
Historical Traceability log,AC-INV-025-102,INV,Given a successful equipment unit swap was completed.,"Then the system presents a timeline of all physical equipment units installed at that operational position, detailing installation and removal dates.",INV-025,102,Equipment Swap (https://app.notion.com/p/Equipment-Swap-39287c56a82880708eccc6339f49ec9a?pvs=21),When the technical history of the Functional Location is queried.
Base Canvas Load,AC-VIS-033-103,VIS,Given the user accesses the Digital Twin module.,Then the system renders the corresponding 2D vector layout using a neutral color palette.,VIS-033,103,Base Visualization and 2D Equipment Inspection (https://app.notion.com/p/Base-Visualization-and-2D-Equipment-Inspection-39287c56a82880b099cbc2b63603715c?pvs=21),"When they select a Functional Location (e.g., 'Pumping Station')."
Equipment Unit Inspection on map,AC-VIS-033-104,VIS,Given the interactive layout is loaded.,"Then the system displays a contextual panel with the summarized technical record, lifecycle status, and active Work Orders.",VIS-033,104,Base Visualization and 2D Equipment Inspection (https://app.notion.com/p/Base-Visualization-and-2D-Equipment-Inspection-39287c56a82880b099cbc2b63603715c?pvs=21),When the user interacts with the graphical representation of a specific equipment unit.
Telemetry monitoring on map,AC-VIS-033-105,VIS,Given the user has the inspection panel open for an equipment unit.,"Then the panel updates the telemetry values (e.g., pressure, temperature) in real-time without reloading the interface.",VIS-033,105,Base Visualization and 2D Equipment Inspection (https://app.notion.com/p/Base-Visualization-and-2D-Equipment-Inspection-39287c56a82880b099cbc2b63603715c?pvs=21),When the Plant SCADA publishes new readings from physical sensors.
Unmapped Equipment Unit,AC-VIS-033-106,VIS,Given the user attempts to locate an equipment unit from the side directory.,"Then the system displays the tabular information but disables the 'Locate on Map' function, indicating the visual mapping is pending.",VIS-033,106,Base Visualization and 2D Equipment Inspection (https://app.notion.com/p/Base-Visualization-and-2D-Equipment-Inspection-39287c56a82880b099cbc2b63603715c?pvs=21),When the equipment unit has no graphical representation linked on the current layout.
